actor_principal,id
Adriano Luz,57403
Jung Yu-mi,86261
Lucas Cruikshank,45839
Jean Gabin,19178
Robert Fontaine,128395
Lola Dueñas,45765
Tetsurō Tamba,88562
Michael Greer,24923
Eleanor Boardman,91208
Greta Garbo,95956
Elio Germano,46920
Alba Rohrwacher,36956
Lilia Prado,43338
Lee Kang-Sheng,54326
Pauly Shore,38937
Werner Krauss,8462
Yvan Attal,35008
Sergei Bodrov Jr.,47855
Farid Shawqi,47324
Krystyna Janda,51010
Maribel Verdú,56810
Adolf Wohlbrück,77546
Karin Viard,14688
Paul Rudd,59968
John Genke,38638
Denis Moschitto,63849
Tomer Steinhof,11110
Elia Kazan,65673
Val Kilmer,78381
Bill Irwin,209802
Luke Goss,51620
Gila Almagor,53146
Sam Laybourne,13070
Emily Osment,70821
Mary J. Blige,70342
Daniel Prévost,52350
Aqib Khan,63943
Joan Crawford,25894
Howard Keel,120932
James Franco,61791
Jacob Wysocki,51993
Louis Calhern,101653
Peter Falk,133781
Robert Montgomery,64318
Marcel Marceau,29399
Kate Winslet,35257
Robert Taylor,28793
Michael Biehn,26479
Heikki Paavilainen,92465
Olivia Wilde,49520
Claudio Undari,29496
Emma Stone,50014
Jesse Eisenberg,62206
Leif Juster,56697
Helen Hayes,52991
Lana Turner,185197
Bing Crosby,104602
Fredric March,80771
Dianna Agron,67675
Jay Baruchel,46584
Sophie Marceau,11604
Miriam  Hopkins,111623
El Brendel,90395
Jessica Alba,59435
Mickey Curtis,36242
Stephen Chow,41387
Marlene Dietrich,52846
Barbara Sukowa,50722
Ferran Adrià,82688
Gérard Depardieu,39413
Matthias Schweighöfer,9295
Emma Bell,55779
Martin Landau,51384
Evan Rachel Wood,60309
Neil Patrick Harris,55465
Zachary Scott,35030
Amza Pellea,31398
Richard Travis,43120
Peter Lorre,38774
Peter Lorre,29484
Nicole Grimaudo,40794
Tomoyo Harada,62385
Sandrine Bonnaire,42973
Mona Mårtenson,77922
Christina Applegate,35802
Jessica Alba,56288
João César Monteiro,73930
Takeshi Sakamoto,117412
Sumiko Kurishima,98635
Glynis Johns,111960
Pia Degermark,42692
Billy Zane,46998
Katie Holmes,46261
Anton Yelchin,58151
William Mapother,55420
Kantarô Suga,104251
Martti Suosalo,22857
Sakari Kuosmanen,60375
Joseph Gordon-Levitt,44835
Stephen Sondheim,100776
Ingrid Bolsø Berdal,21786
Danielle Harris,52015
Morgan Spurlock,58492
Helen Mirren,48289
Zoe Saldana,62835
Bill Cunningham,55244
Robert Shaw,80382
Zoe Sloane,43942
Stephen Galaida,18634
Shirley MacLaine,29491
Danny Kaye,109235
Victor Mature,4938
Ginger Rogers,76121
Antonio Banderas,63311
Norman Reedus,20441
Mads Ole Erhardsen,121530
Virna Lisi,17974
Joaquim de Almeida,59392
Alfred Molina,15052
James Franco,64832
Jay Baruchel,64320
Sam Rockwell,44750
杰森·莫玛,37430
Nick Stahl,50023
Aimee Teegarden,51588
Ken Kesey,57211
Winona Ryder,11388
Mischa Barton,16335
Rachel Bilson,52338
Don Megowan,69292
Andy Lau,63721
Rider Strong,15425
Lee Kang-Sheng,53520
Hélène Loiselle,69765
Miriam  Hopkins,27986
Bob Angelini,63579
Norma Shearer,109008
Rutger Hauer,11248
Crispin Glover,21141
Thomas Calabro,52685
Alan Bagh,40016
Alberto Fumigalli,100794
Monet Mazur,17236
Oscar Van Rompay,60784
Ralph Fiennes,73358
Simon Bird,69798
Anthony Quinn,79775
Miranda July,54662
David Eberts,172149
Helen Mirren,39845
Charles Laughton,36519
Tio Hardiman,72711
Dirk Bogarde,54797
Michael Parks,48572
Darío Grandinetti,74938
Harry Baur,67532
Pierre Blanchar,32859
Mehmet Kurtulus,407
Ricardo Darín,67884
Samantha Mathis,18375
Travis Fimmel,14215
Demián Bichir,55720
JeeJa Yanin,25855
Uma Thurman,55246
Christopher Thornton,58884
Adrien Brody,50838
Eddie Vedder,72744
Sarah Jessica Parker,70868
Maria Fiore,117478
Paul Muni,98482
Ann-Margret,95358
Betty Grable,52278
Pat Boone,106833
Poul Reichhardt,99272
Sara Paxton,65055
Audrey Tautou,51072
Matt Damon,39538
Michel Piccoli,61667
Joan Fontaine,131764
Robert Forster,23587
Emily Browning,64586
Dolores del Río,60225
Richard Carlson,85498
James Marsden,64639
Brad Pitt,60308
Peter Weller,47753
Ruth Díaz,16092
Glory Annen,45048
Doris Day,108844
Joe Cross,72914
Michèle Morgan,43511
George Sanders,28373
André Wilms,73532
Viva Bianca,73454
Michelle Yeoh,43637
Hrithik Roshan,61202
Mia Wasikowska,47760
Conor McCarron,55785
Mitsuru Fukikoshi,68341
Jason Isaacs,46909
Dee Bradley Baker,71689
William Lundigan,31167
Scott Walker,30867
Isabelle Weingarten,55847
Mimsy Farmer,65317
Laurence Fishburne,103475
Claudia Teixeira,49974
David Knight,64524
Frank Ripploh,35125
Piotr Jagielski,78228
Vincent Lindon,65081
Silvana Mangano,36236
Bulle Ogier,63327
Gérard Lanvin,61404
Vivek Oberoi,76684
Maria de Medeiros,32958
Stephen Rea,45806
James Purefoy,38543
Stewart Granger,80241
Russell Peters,66605
Kali Bannerjee,166798
Clark Gable,36513
David Broadnax,27881
Kaoru Futaba,100033
Geraldine James,18093
Howard Keel,86920
Giannis Angelakas,75865
Peter Paul Muller,5473
Carice van Houten,72049
Shera Bechard,46534
Alexandra Daddario,55890
Brandon Carroll,44950
Ewart G. Morrison,101772
Kata Dobó,13616
Ray Milland,38437
Fernando E. Solanas,132227
Robert Downey Jr.,24428
James Cagney,82260
John Hurt,49517
Leila Hatami,60243
Keira Knightley,48231
Spencer Tracy,109886
Claudette Colbert,74525
Nina Foch,42077
Glenda Jackson,42266
Tom Hardy,59440
Atsuko Okatsuka,85821
Ben Syder,33555
James Cagney,125736
Jeanne Moreau,94655
W.C. Fields,131732
Betty Grable,106825
Ryan Gosling,10316
Gérard Philipe,65283
Walter Huston,91961
Mickey Rooney,95949
James Dunn,84299
Neil Maskell,74725
Jason Statham,49021
Robert Davi,38743
Shahid Kapoor,37822
Evan Glodell,58699
Joseph Gordon-Levitt,40807
Tom Beard,39517
Robert Ginty,52837
Colin Firth,54469
George Reeves,41800
János Derzsi,81401
Mikhail Efremov,63375
Muhammet Uzuner,74879
Jean Dujardin,74643
Daniel Auteuil,17658
Carole Bouquet,57714
Günther Kaufmann,105757
Carmen Electra,13687
Sebastian Koch,72419
Danny Kaye,114060
Peter Cushing,39861
Danièle Delorme,123723
Max Records,59852
Yannick Diakité,85743
Yuriy Tsurilo,100784
Maggie Cheung,41822
A. Alekseev,45590
Veriko Andjaparidze,103590
Danny Kaye,55863
Danny Kaye,47182
Gloria Swanson,70803
Mieko Takamine,91094
Rajinikanth,148284
Nikohl Boosheri,60421
Klaus Kinski,27439
Cuba Gooding Jr.,50765
Sasha Andreev ,70636
Baltasar Kormákur,63907
Helga Braga Jónsdóttir,113432
David Keith,33592
Henry Silva,58402
Jung Suh,30043
Shohreh Aghdashloo,149507
Florinda Bolkan,63025
Danny Lee Sau-Yin,88922
Michael Shannon,64720
Catherine Deneuve,125039
Claire Sloma,70588
Bernard Giraudeau,48778
Tygh Runyan,42707
Marshall Grauer,31116
J.K. Simmons,56401
Stuart Erwin,83633
Willie Nelson,69722
Deanna Durbin,61645
Lily Pons,218389
Barbara Barrie,143841
Fernandel,74810
José Coronado,76013
Mira Sorvino,54700
Stephen Moyer,73588
Jane Powell,111625
Pierre Fresnay,43460
Kathryn Grayson,52847
Natasha Yarovenko,80122
Alastair Sim,83015
Taraneh Alidoosti,225951
Philippe Noiret,47496
Alain Delon,85365
Andreea Bosneag,80115
Cornel West,24566
Jeanne Goupil,61683
Tetsurō Tamba,58878
Paulus Manker,76853
Hugh Jackman,39254
Sorrell Booke,72648
Maurice Compte,6182
Joshua Safdie,42585
Danny Kaye,147105
Buck Brannaman,67273
Hannah Herzsprung,73262
Mads Mikkelsen,9345
Julien Boisselier,61267
Viktor Nemetz,60981
Nathan Harlan,91391
Werner Herzog,162451
Germaine Dermoz,49452
Zana Marjanović,126732
Kevin Spacey,35221
Pyotr Glebov,109991
Arletty,130650
Louis Hayward,30014
Stan Laurel,58732
Ubaldo Stefani,133123
Moises Alou,75803
Kenny Wormald,68817
Mary Elizabeth Winstead,60935
Lemmy,53344
Michael Sheen,59437
Peter Mullan,76543
Til Schweiger,75969
Jerzy Stuhr,71933
Joseph Cotten,27999
Elizabeth Olsen,50837
John C. Reilly,71859
Ray Liotta,70009
Matt Bushell,10005
Gabriele Tinti,79094
Milla Jovovich,52451
Justin Timberlake,49530
Emily Watson,70925
Richard Berry,18916
Andy Serkis,62728
Jack Hawkins,46724
Zoe Saldana,45013
Anna Paquin,44754
Kate Winslet,72113
Jean-Claude Van Damme,71677
Kevin Spacey,50839
Ilona Agathe Bastian,71821
Robert Ryan,37079
Michael Sopkiw,23807
Dick Proenneke,52297
Dick Proenneke,85766
Monte Hale,206052
Katie Featherston,72571
Chris Evans,72432
Karin Viard,71157
Kate Hudson,45156
Cristin Milioti,61730
Paul Dooley,104449
Antonio Sabàto,113105
Richard Hatch,70500
Miren Amuriza,139863
Penny Singleton,3966
Rowan Atkinson,58233
Taylor Lautner,59965
Andy Lau,69310
Sean Penn,53487
Michael Fassbender,76025
Pierre Renoir,43845
Annik Borel,92751
Eva Ras,42696
Robert Wagner,83354
Lizzie Brocheré,12838
Nick Cannon,22819
Mary Stuart Masterson,113137
Orson Welles,94623
Rick Kirkham,123334
Agnes Kittelsen,46147
Youssouf Djaoro,57602
Alejandro Trejo,86126
Adrienne Barbeau,28687
Werner Herzog,140003
Kim Sang-kyung,58069
Fernando Luján,72172
Chris Evans,63492
Daniel Craig,69668
Harry Bruton,65992
Gustav Hofer,58511
Florence Marly,27642
John Stockwell,47342
Aksel Hennie,70670
Ben McKenzie,69735
Piotr Garlicki,139467
Zhao Wei,32909
Lauren Walsh,47273
Gerard Butler,45610
Cory Booker,77801
Christopher Gorham,78309
Mariusz Dmochowski,81315
Jamie Campbell Bower,61891
Rhys Ifans,46934
Tiina Weckström,62614
Wings Hauser,82020
Toby Kebbell,70196
Sophia Loren,56122
David Cross,18865
Gérard Depardieu,79031
Jon Voight,72494
David Farrar,79401
Randy Quaid,69217
Birthe Wingren,61121
Roger De Vlaeminck,28414
Stacy Keach,83147
Yaphet Kotto,27012
Anthony Hopkins,42605
Fabio Testi,22396
Ben Stiller,59108
Leonardo DiCaprio,88794
Tim Matheson,27769
Stephen Moyer,73499
Nikki Reed,14127
Paul Newman,49411
Jamie Bell,17578
Jack Lemmon,60387
Channing Tatum,74536
Cristian Mercado,52799
Ellis Cashmore,40658
Olivier Gourmet,95448
David Chiang,36261
Zoé Héran,65229
Satomi Kobayashi,25656
Jean-Louis Trintignant,64347
Valeria Bruni Tedeschi,6360
Maria Montez,38683
Nathalie Biancheri,157924
Jana Preissová,47189
Kevin Corrigan,52472
Callum Keith Rennie,125943
Miki Nakatani,40592
Petr Čepek,19034
Susan Hayward,199072
Jason Chang,65044
George Harrison,75964
Ben Kingsley,44826
Vera Farmiga,50875
Nicolas Cage,70578
Linda Blair,14673
Arkadiusz Jakubik,36142
Sylvia Sidney,109435
Mickey Rourke,37958
Adam Sandler,71880
Charles Jang,37736
Mark A. Altman,75311
Chang Chen,54421
Anita Berber,28629
Tommy Caldwell,31222
Simon Abkarian,26738
Dominic Cooper,62630
50 Cent,70586
Hafsia Herzi,84427
Jacob Matschenz,94336
Rachel Weisz,51994
Michael Landes,51248
Jason Burkett,77365
Anders Danielsen Lie,75233
Fabio Testi,4790
Achmed Akkabi,17495
Mel Blanc,80607
John Wayne,61985
Robert Kennedy Jr,53328
Sascha Kekez,65831
Cameron Antrobus,72875
Ellen Barkin,60422
Van Johnson,238616
Andy Lau,55292
Susan George,40350
Ronald Colman,43252
Joel McCrea,114975
Kaya Scodelario,9364
Peter Cushing,48014
John Lennon,59206
William Hurt,11403
Kyle Gallner,47320
Lewis Wilson,125249
Robert Lowery,93560
Charles Denner,4195
Guillaume Canet,14726
Jennifer Jones,4809
Ronald Colman,181537
Jack Oakie,119564
Erich von Stroheim,35543
George Clooney,65057
Anton Yelchin,60420
Amy Adams,64328
Cecilia Cheung,10109
Kristen Stewart,50619
Bruno Ganz,65002
Robert Shaw,107327
Isabelle Adjani,64983
Corey Haim,20859
Tom Hiddleston,57212
Johnny Depp,23514
Michelle Williams,75900
Spencer Tracy,89086
Chiara Mastroianni,31208
Sharon Lawrence,131914
Brian Geraghty,50036
Dorothy Mackaill,82397
Carole Brana,64124
Stanley Baker,30784
Sergio Castellitto,24185
Tom Cullen,79120
Ving Rhames,22165
Françoise Pascal,84473
Simon Yam,39693
Josh Hopkins,61629
Stan Laurel,178452
Charles Boyer,85677
Eryk Lubos,68634
Ryan Dunn,76234
Ajay Devgn,70590
John Cusack,38407
Akshay Kumar,20002
Dick Powell,221346
Anton Shagin,38336
Selena Gomez,15157
Barbara Stanwyck,173456
Dominic West,39463
Josh Hartnett,30618
Bob Hoskins,35841
Shirley Temple,29879
Kazunari Ninomiya,74135
Kristin Scott Thomas,53457
Ben Barnes,17155
Charlotte Gainsbourg,51409
Bernice Stegers,25834
Paprika Steen,19305
Sam Rockwell,57431
Thomas Horn,64685
Glenn Ford,172908
Klaus Maria Brandauer,29932
Helena Bonham Carter,28118
Marla Sokoloff,45708
Jordan-Claire Green,26985
Roger Carel,11625
Roger Carel,9369
Roger Carel,9642
Harry Belafonte,91367
Henry Fonda,79887
Woody Harrelson,75622
Elijah Wood,65759
Stephen Rea,125769
Carol Burnett,91781
Anna Magnani,43444
Sandy Dennis,66488
James McAvoy,51052
Stephanie Sigman,77635
Burl Ives,80555
James Caan,80046
Richard Harris,52661
Charles Laughton,25413
Colin Egglesfield,153102
Derek Godfrey,182129
Heather Matarazzo,125506
James Cagney,85639
Geena Davis,37721
Clifton Collins Jr,56601
Kevin Bacon,57585
Saoirse Ronan,91550
Patrick Dempsey,62046
Sylvester Stallone,70074
Sylvester Stallone,76163
David Bowie,13396
Eric Roberts,46020
Red Skelton,43546
Edmund Lowe,111607
Jennifer Lawrence,70160
Benjamin Christensen,174593
Eva Green,59457
Leon Lai,38264
Ruan Lingyu,112698
Zdenek Bezusek,77381
Tod Slaughter,87911
Heinrich Ebber,15736
Christian Bale,49026
Jeremy Renner,49040
Mélanie Laurent,1254
Thomas Jane,75345
Robert Downey Jr.,58574
Cindy Baer,66150
Vincent Lindon,54157
Nikolaj Lie Kaas,73448
René Cresté,56801
Jo Jae-hyeon,25653
Gerard Butler,101173
Salma Hayek,103597
Ann-Margret,39287
Jan Siodlaczek,22075
Izolda Izvitskaya,46741
"Max Baer, Jr.",42450
Ayca Damgaci,54900
Morgan Freeman,61896
Jafar Panahi,83552
Hideko Takamine,125264
David Dewaele,89456
Romina Paula,118204
Ellen Barkin,119425
Sook-Yin Lee,17775
Emmanuelle Seigner,70955
tara ballard,20186
Zachary Knighton,99642
Victor Rebengiuc,123712
Charlize Theron,57157
Milla Jovovich,70577
Robert De Niro,62838
Tom Cruise,56292
Matt Damon,74465
Doris Day,40693
Daniel Craig,65754
Emile Hirsch,71469
Sara Ziff,45320
Alec Guinness,16939
Jason Lee,55301
Glenn Close,73873
Belén Rueda,52274
Jennifer Connelly,51995
Adam Scott,80038
Ray Milland,82203
Clive Owen,63207
Dick Powell,25688
Zana Marjanović,79777
Walter Huston,84505
Cornel Wilde,25915
James Cagney,111100
Gary Lockwood,85942
Lionel Barrymore,58192
Edward Arnold,52359
William Holden,75315
Fritzi Haberlandt,2349
Aasif Mandvi,46641
Zhang Ziyi,24986
George Wendt,24833
Jeremy Irons,53505
John Cassavetes,45138
Jean-Louis Trintignant,48153
Ida Lupino,36522
Cristina Rosato,74518
Carla Gugino,59006
Yo Oizumi,41066
Milla Jovovich,53100
Elena Leeve,116537
"Efrem Zimbalist, Jr.",118955
Warren William,72997
Ranveer Singh,82698
Kim Wayans,73939
Jim Henson,13247
Jackie Chan,50393
Rooney Mara,71866
Edward Burns,72766
Fernanda Andrade,76487
Joseph Cross,74523
Lois Smith,76785
Mark Wahlberg,77866
Shah Rukh Khan,14163
Lino Ventura,74878
Clara Bow,72821
Ezzatolah Entezami,43984
Dennis Quaid,78461
Bill Barretta,75301
John Wayne,112655
Queen Latifah,63574
James Mason,184795
Morgan Freeman,62837
Mario Guerra,63498
Meryl Streep,71688
Christian Camargo,39072
Charles Durning,15346
Nadezhda Markina,78182
Cristi Puiu,81527
Vangelis Mourikis,53128
Denis Podalydès,65233
Dean Daley-Jones,73066
Kenny Gardner,31309
Tatiana Vilhelmová,33684
Ted Danson,35156
Gaspar Galaz,72721
Hippolyte Girardot,162374
Jessica Brown Findlay,72842
Peter Facinelli,79465
Chris Wylde,79896
Rutger Hauer,57829
Paul Simon,42157
Christopher McDonald,57353
Chris Kroesen,84420
Rafael Spregelburd,47383
Lauren German,38541
Kate Beckinsale,52520
Liam Neeson,75174
Sam Worthington,49527
Ge You,55741
Mikko Leppilampi,68861
Gilda Radner,124210
Patrick McGoohan,37038
Cameron Mitchell,72313
Jack Huston,8368
Michael Redgrave,60938
Pepón Nieto,145594
Nick Thurston,58194
Gina Carano,70435
Thomas Ngijol,66118
Jane Russell,26283
Randolph Scott,110139
Anthony Quinn,94741
Michael Ostrowski,31337
Rachel Weisz,65760
Laurence R. Harvey,74997
Patrick Stewart,75579
Sylvia Sidney,45971
Samuel West,60364
Kantarô Nakamura,28632
Stephen Chow,47648
David Tennant,15044
Donnie Yen,34179
John Barker,35250
Gina Lollobrigida,32831
Sara Rue,65892
Cora Miao,78450
Leyla Zareh,87408
Hani Furstenberg,82321
Ben Adam,96888
Bujtor István,86732
James A. Marcus,86081
Gheorghe Dinică,123690
Marlène Jobert,63230
Helene Bergsholm,62564
Johannes Zeiler,77560
Marcelo Alonso,56815
Ronald Bronstein,58251
Peter Fenton,125316
Bunta Sugawara,21613
Michèle Morgan,66436
Rifka Lodeizen,32169
András Hatházi,70149
Brandon Maggart,27230
Kari Heiskanen,58391
Clara Bow,86457
Ryan Robbins,50357
Naamah Alva,82269
Nicolas Cage,74998
Yul Brynner,159615
Silvia Monfort,54436
Kip Pardue,71670
Nick Chinlund,21864
Adam Baldwin,28512
Fakrul Hasan Bairagi ,93164
Franco Interlenghi,90770
Tula Belle,71271
Bryan Cranston,72431
Robert Więckiewicz,73686
Machiko Kyô,43095
Christian Bale,76758
Sherilyn Fenn,70917
Craig Baldwin,72186
Anita Briem,42968
François Cluzet,77338
Valérie Donzelli,73562
Katherine Heigl,54054
John Carradine,35663
Robert Lowery,23340
Chaz Bono,96495
Scott Glenn,35659
Abbie Cornish,80591
Sara Paxton,58428
Kari-Pekka Toivonen,142118
Ann Sothern,130900
Drew Barrymore,78698
Andrew Airlie,85949
Richard Basehart,122515
Susumu Ishikawa,58704
Adam Beach,101520
James Garner,70387
Ivan Urgant,57809
Sergey Svetlakov,85317
Carly Pope,57343
Helena Bonham Carter,43711
Françoise Rosay,76651
Taizô Fukami,244115
Janet Gaynor,52517
Sean Rogerson,50698
Andy Lau,48492
Michael Caine,118911
Mark Gil,56126
Cezary Pazura,38371
Cezary Pazura,14224
Dane DeHaan,76726
Daniel Radcliffe,65086
Matthias Schweighöfer,80125
Freddie Highmore,52850
Freddie Highmore,64678
Mark Ivanir,57400
Renato Rascel,93834
Nick Swardson,67911
Vincent Cassel,66120
Anthony Hopkins,42457
Spencer Tracy,108688
Fred MacMurray,212713
Tom Burke,75170
Harry Connick Jr.,30849
Kelly Sheridan,15167
Dylan Moran,13976
Dylan Moran,13586
Dylan Moran,26118
Dylan Moran,79133
Denzel Washington,59961
Rachel McAdams,72570
Kristy Swanson,63749
David Janssen,49354
Bill Cord,76399
Rhodes Reason,39276
Nelson Eddy,94209
Ruth Chatterton,72338
Daniel Radcliffe,25143
Louis C.K.,80379
Ed Flanders,69266
Salma Hayek,84797
Abiodun Oyewole,75000
Ronald Reagan,130090
Brent Gorski,14205
Tetsurō Tamba,29268
Kristin Booth,63217
Hisashi Igawa,54146
Mohamed Fellag,78480
Shima Iwashita,92670
Ari Graynor,84200
Alejandro Jodorowsky,37621
Hilarion Banks,99254
Abigail Breslin,73700
Irene Dunne,91181
Josh Hutcherson,72545
Kelly Macdonald,124847
Agata Buzek,86099
Pentti Tarkiainen,253105
Mae Marsh,112485
Ewan McGregor,51999
Cindy Sampson,47763
Ron Shahar,16702
Johnny Cash,126016
Robert Loggia,83716
Eric Wareheim,79940
Pertti Koivula,189076
Allu Tuppurainen,64029
Ben Mendelsohn,29483
Pyotr Mamonov,88491
Max von Thun,79362
Til Schweiger,53174
Jeff Bridges,84259
Winona Ryder,71184
Marjorie Eaton,37464
Jussi Nikkilä,85988
Will Yun Lee,75469
Benny Parrish,83732
Donnie Yen,30596
Jet Li,75948
Jet Li,81870
Vinnie Jones,29564
Ian Palmer,71771
Martijn Lakemeier,16564
Don Ameche,110603
Mamie Van Doren,98079
Severi Heikkilä,115656
Jennifer Love Hewitt,14933
Carme Elias,73921
Cary Grant,81111
Arcelia Ramírez,106199
Benjamin Christensen,147621
Jean-Pierre Darroussin,247500
James Hetfield,29750
Ed Wolf,81716
Dianne Hull,140632
Vladimír Menšík,51578
Willem Dafoe,70954
Rob Freeman,74471
Laura La Plante,108155
Warren Beatty,35671
Nicolas Cage,71676
Vanessa Paradis,77459
Christopher Meloni,158920
Ryan Kelley,21634
Brendan Fletcher,70374
Amanda Bynes,27902
Imanol Arias,186755
Adolphe Menjou,53798
Darren Criss,54507
Darren Criss,59017
Mikko Leppilampi,105983
Leslie Bibb,51875
Cillian Murphy,73936
Jason Palmer,46504
Gregory Peck,147886
Hedy Lamarr,80030
Sam Waterston,26397
Rachel Hendrix ,83860
Mikhail Khodorkovsky,79890
Șerban Pavlu,81675
Steve Vai,98096
Rosanna Schiaffino,59045
Pierce Brosnan,168210
Marie Féret,62116
Robert Duvall,70876
Fabrice Luchini,57243
Derek Nimmo,29694
Jaleel White,52454
Jennifer Pudavick,71672
Luis Tosar,77495
Kinuyo Tanaka,55198
Samuel L. Jackson,71254
Buddy Ebsen,202941
George Maharis,27709
Naomie Harris,53033
Valentinas Masalskis,32708
Connie Sellecca,36427
Ryan Kwanten,45569
Tim Thomerson,17790
Bruce Campbell,15086
Hans-Jürgen Lange,48458
Élise Guilbault,85883
Juliette Binoche,116231
Dominique Blanc,52264
Vincent Price,77076
Hisako Kanemoto,79707
Amanda Seyfried,79548
Donald Keith,184507
Alex Kendrick,72213
Alex Kendrick,17345
Oliver Cooper,57214
Zac Efron,73723
Michelle Meadows,25228
Owen Wilson,73937
Aki Kaurismäki,214349
Peter Lorre,18705
Roselyn Sánchez,75674
John Paul Tremblay,38674
Feodor Chaliapin Sr.,46813
O.C. Brown,82620
Reese Witherspoon,59962
Charlie Chaplin,53418
Charlie Chaplin,53420
Charlie Chaplin,53410
Charlie Chaplin,53403
Willard Parker,77669
Brad Pitt,26642
Taylor Kitsch,49529
Charlie Chaplin,53424
Sibel Kekilli,44246
Dean Martin,196784
Freddie Mercury,74406
Charlie Chaplin,53414
Eric Campbell,53419
Charlie Chaplin,47650
Travis Rice,68450
Patrick Huard,79108
Lee Fulkerson,64288
Maki Sakai,46101
Seann William Scott,74387
Quim Gutiérrez,80184
Clovis Cornillac,52349
Deborah Kerr,3051
Alexia Rasmussen,48373
Rowan Atkinson,47682
Hiroka Oyama,20683
Rebecca Hall,77949
Jean Reno,41411
Freida Pinto,45595
"Antonio Sabàto, Jr.",28524
Anderson Silva,92117
Kana Hanazawa,37928
Julianne Moore,91010
Emmanuel Salinger,216672
Patrick Wilson,63493
Uhm Jung-hwa,42507
Channing Tatum,64688
Jason Segel,82532
Rob Corddry,14346
Tom Tyler,61020
Vince Edwards,37942
David Hewlett,25435
William Holden,144326
Bela Lugosi,170936
Arisara Thongborisut,64786
Kim Ha-neul,79374
Guy Pearce,81796
Seo Young-hee,59421
Colin Hanks,70585
Justin Duerr,54358
Melissa George,81390
John Merivale,28063
Lucas Pittaway,67748
Hiroyuki Ikeuchi,61984
Zach Galligan,52826
Mohamad Imran Tapa,113038
Michael Madsen,45273
Benedict Cumberbatch,95675
Tom Naughton,36944
Alba García,79754
Ed Lauter,64108
Fouad Labied,99698
Anna Godenius,229670
Bernard Giraudeau,42147
Lynn Hershman Leeson,55245
Will Ferrell,80304
Roger Corman,56591
Yi-fan Chen,83195
Aaron Ashmore,40056
Ethan Embry,48038
Maciej Stuhr,79221
Jiro Ono,80767
Greta Gerwig,82533
Lau Wing,64992
Sidney Poitier,67696
Hilmir Snær Guðnason,33569
Emily Blunt,81025
Rod Taylor,77553
Ryohei Kimura,35435
Leslie Bibb,94204
Sam Worthington,57165
Adam Copeland,44032
Irrfan Khan,96398
Barbara Steele,42998
Adrien Brody,74308
Barbara Payton,100656
Bill Bixby,26881
Dane Cook,75576
Willem Dafoe,86820
Julia Dietze,10679
Barbara Steele,28533
Katie Parker,74777
Jason Biggs,71552
Krystal Summers,66895
Iko Uwais,94329
Kristen Connolly,22970
Audrey Tautou,81342
Joel Murray,74306
Ed Asner,87098
Eric Roberts,80432
Mary Fuller,2929
Nurul Islam Bablu,72958
Mohamed Kheir-Halouani,178535
Isabelle Carré,51991
Monique Parent,28136
Paul Douglas,43309
Jessica Schwarz,73889
Pep Tosar,36228
John Drew Barrymore,37084
Akshay Kumar,85052
Saif Ali Khan,85050
Tristán Ulloa,39172
Shlomo Bar-Aba,72551
Vanessa Paradis,85033
Krysten Ritter,91070
Rebekah Brandes,14686
Florencia Colucci,56180
Elizabeth Olsen,92182
Sean Hayes,76489
John Cusack,70436
Billy Connolly,76346
Antonio Banderas,54271
Julia Roberts,62764
Taylor Kitsch,44833
Vincent Cassel,50365
Kinuyo Tanaka,45993
Anthony Flanagan,206997
Donatella Finocchiaro,73872
Vincent Price,28715
Lola Créton,82327
Bill Nighy,74534
Sebastian Bach,41120
Debbie Reynolds,111037
Joshua Safran,77881
Chris Langham,91292
Edoardo Leo,109979
Stellan Skarsgård,73211
Chace Crawford,40720
Ashley Tisdale,60405
Beth Emery,86455
Matthias Schoenaerts,63310
Jean Rochefort,86727
Russell Harvard,74447
Kate Beckinsale,18591
Chester Morris,86416
Maggie Gyllenhaal,75802
Chesney Allen,88609
Alexandra Chando,45347
Joanna Szczerbic,121942
Akshaye Khanna,54081
Alexz Johnson,37434
Domingo Ambriz,86975
Victor Mature,48646
Dimitrios Vainas,138719
Mary Carey,56325
Arthur Franz,37467
Vincent Price,37329
Jason Segel,72207
Zdeněk Štěpánek,19757
Bolek Polívka,85621
John Cleese,61410
Yuko Chishiro,111304
Pierre Fresnay,74402
Sean Penn,68752
Anna Kendrick,28891
Ben Stiller,25154
Ally Sheedy,73336
Jack Haley,23281
Sami Hall Bassam,31223
Steve Little,83330
Craig Hall,70386
Michael Ealy,67660
Zac Efron,77877
Shawn Ashmore,48008
Joel McCrea,145878
George Raft,242621
Karina Smulders,17347
Violet Hilton,43373
Sammi Hanratty,73563
Jason Statham,72387
Sylvia Chang,106373
David Tennant,28238
Dominique Abel,89287
Jane Brakhage,105583
Ricky Davao,253808
Dorothy Mackaill,106605
Glen Hansard,91352
Lionel Barrymore,162284
Paula Patton,57119
Mariko Okada,148371
Jenny Wade,15135
Josh Lucas,66125
Josh Lawson,88478
Konkona Sen Sharma,25799
Johnny Depp,62213
Michael Copon,13486
Chanelle Lindell,58390
Alexandra Meierhans,140781
Brittany Snow,89326
Selma Blair,92000
Alice Eve,40161
Bob McGrath,135686
Thomas Dekker,77957
Patsha Bay,63946
Refet Abazi,82624
Juan José Ballesta,59835
Scott Speedman,92493
Michael Rogers,50037
Alec Baldwin,47479
Michael Risley,23683
Selton Mello,79934
